rel_freq,sentence_acc
0.0,0.027827292533174886
0.025,0.06681140827000888
0.05,0.12956698240866035
0.075,0.13170493404982903
0.1,0.1390748944060987
0.125,0.16101979201610198
0.15,0.16958751870057703
0.175,0.15357379951316663
0.2,0.1791200752429721
0.225,0.1888909668973256
0.25,0.18650512911213302
0.275,0.20037732882635012
0.3,0.19294044148271552
0.325,0.1900611421881098
0.35,0.19243328454002928
0.375,0.18885363498413574
0.4,0.19997210988704503
0.425,0.18353885861772298
0.45,0.19750390015600625
0.475,0.20254237288135593
0.5,0.19170142079592847
0.525,0.20005202913631634
0.55,0.2053202110968478
0.575,0.19793999104343932
0.6,0.20611096220852318
0.625,0.22393029186738453
0.65,0.20524942940984675
0.675,0.20788738948348068
0.7,0.2002791346824843
0.725,0.22939657196525007
0.75,0.22401781635449977
0.775,0.21664862263923976
0.8,0.20099018500825155
0.825,0.22149257815172035
0.85,0.20097706608766455
0.875,0.2146327841385088
0.9,0.20348673727622082
0.925,0.22674658949979332
0.95,0.2089086859688196
0.975,0.23877393018018017
1.0,0.2501100448983185
-1,0.15569297926518735
