rel_freq,percent_sent_containing
0.0,0.3366
0.025,0.33776666666666666
0.05,0.39413333333333334
0.075,0.3411666666666667
0.1,0.32356666666666667
0.125,0.2981
0.15,0.31193333333333334
0.175,0.3012666666666667
0.2,0.3189666666666667
0.225,0.35646666666666665
0.25,0.37693333333333334
0.275,0.4240333333333333
0.3,0.3201333333333333
0.325,0.2562333333333333
0.35,0.2960333333333333
0.375,0.24163333333333334
0.4,0.23903333333333332
0.425,0.23246666666666665
0.45,0.21366666666666667
0.475,0.354
0.5,0.4715666666666667
0.525,0.25626666666666664
0.55,0.4674
0.575,0.2233
0.6,0.24873333333333333
0.625,0.47053333333333336
0.65,0.20446666666666666
0.675,0.2865333333333333
0.7,0.33436666666666665
0.725,0.2839333333333333
0.75,0.5837333333333333
0.775,0.2771
0.8,0.38376666666666664
0.825,0.4873
0.85,0.4912666666666667
0.875,0.5968333333333333
0.9,0.35563333333333336
0.925,0.6450666666666667
0.95,0.5986666666666667
0.975,0.9472
1.0,0.3786333333333333
-1,0.09163333333333333
